Deck	Title	HP	Keywords	Game Text	Flavor Text	Attribution	Qty	Set	Decks: 6
Akash'Bhuta	Arboreal Phalanges	14	Primeval Limb	When this card is destroyed, Akash'Bhuta deals herself 14 fixed energy damage. END PHASE This card deals the non-Villain target with the highest HP (H) melee damage.	"Stick with it! Surely we can't be defeated by an assortment of shrubberies!"	Captain Cosmic, Prime Wardens vol. 1 #4	3	Core Game	Akash'Bhuta
Akash'Bhuta	Disrupt the Field	-	One-Shot	Destroy all Environment cards. Play the top card of the Environment deck. Play the top card of the Villain deck.	"We must stop this fiend and save Megalopolis... before it's too late!"	Legacy, Freedom Five Annual #10	2	Core Game	Akash'Bhuta
Akash'Bhuta	Earth's Sacrifice	-	One-Shot	Destroy (H) minus 1 Hero Ongoing cards. Discard as many cards from the top of the Environment deck as cards destroyed by this card.	"You may drain my strength, but you cannot crush my will."	The Argent Adept, Virtuoso of the Void #152	2	Core Game	Akash'Bhuta
Akash'Bhuta	Ensnaring Brambles	8	Primeval Limb	When this card is destroyed, Akash'Bhuta deals herself 8 fixed energy damage. END PHASE Select the Hero target with the lowest HP. -2 damage dealt by that target until the Villain START PHASE.	"Rah! This is no longer fun!	Haka, Prime Wardens vol. 1 #2	3	Core Game	Akash'Bhuta
Akash'Bhuta	Entropic Fungi	6	Primeval Limb	When this card is destroyed, Akash'Bhuta deals herself 6 fixed energy damage. END PHASE This card deals each target in the Hero play area with the most cards in play 2 toxic damage. Destroy 1 Ongoing card and 1 Item card in that play area.	"We just got new gear, but it's already acting like it spent the last decade in the mud. Doc's gonna be mad."	Absolute Zero, Freedom Five Annual #10	3	Core Game	Akash'Bhuta
Akash'Bhuta	Harsh Renewal	-	Ongoing	START PHASE Destroy the Primeval Limb card in play with the lowest HP, preventing any damage Akash'Bhuta would deal herself. Shuffle the Villain trash into the Villain deck. Discover (H) minus 2 Primeval Limb cards.	"You cannot outrun time. I have been a part of this planet since before your ancestors learned of fire, and I shall remain here after you are long gone."	Akash'Bhuta, Freedom Five Annual #10	2	Core Game	Akash'Bhuta
Akash'Bhuta	Interposing Stalagmites	12	Primeval Limb	-1 damage dealt to Akash'Bhuta. When this card is destroyed, Akash'Bhuta deals herself 12 fixed energy damage. END PHASE This card deals the non-Villain target with the lowest HP 2 melee damage.	"Like rain on the mountain or wind through a forest, you are barely noticed. Cease your struggles. Leave this world."	Akash'Bhuta, Prime Wardens vol. 1 #2	3	Core Game	Akash'Bhuta
Akash'Bhuta	Living Rockslide	10	Primeval Limb	When this card is destroyed, Akash'Bhuta deals herself 10 fixed energy damage. END PHASE This card deals each non-Villain target 2 projectile damage.	"Who is that? We gotta get him out of there!"	Bunker, Freedom Five Annual #10	3	Core Game	Akash'Bhuta
Akash'Bhuta	Primeval Eruption	-	One-Shot	Discover (H) minus 1 Primeval Limb cards. Discard the top (H) plus 1 cards of the Environment deck.	"This is it... the beginning of the end."	The Argent Adept, Mother Earth One-Shot	2	Core Game	Akash'Bhuta
Akash'Bhuta	Return to the Earth	-	One-Shot	Destroy (H) minus 1 Item cards. Restore all Environment targets and Primeval Limb cards to their max HP.	"From the earth it was born, and so to the earth it shall return!"	Akash'Bhuta, Freedom Five Annual #10	2	Core Game	Akash'Bhuta
Baron Blade	Backlash Field Generator	6	Device	After any Villain target other than this card is dealt damage by a Hero target, this card deals the attacker 2 lightning damage.	"He's surrounded by a phase-shifted nanowave field, powered by that lithium microfilament capacitor on his belt!"	Tachyon, Freedom Five #187	2	Core Game	Baron Blade
